,date,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances,Year,Month,Day
411,1991-02-16,True,False,True,Vacances d'hiver,1991,2,16
412,1991-02-17,True,False,True,Vacances d'hiver,1991,2,17
413,1991-02-18,True,False,True,Vacances d'hiver,1991,2,18
414,1991-02-19,True,False,True,Vacances d'hiver,1991,2,19
415,1991-02-20,True,False,True,Vacances d'hiver,1991,2,20
416,1991-02-21,True,False,True,Vacances d'hiver,1991,2,21
417,1991-02-22,True,False,True,Vacances d'hiver,1991,2,22
418,1991-02-23,True,True,True,Vacances d'hiver,1991,2,23
419,1991-02-24,True,True,True,Vacances d'hiver,1991,2,24
420,1991-02-25,True,True,True,Vacances d'hiver,1991,2,25
421,1991-02-26,True,True,True,Vacances d'hiver,1991,2,26
422,1991-02-27,True,True,True,Vacances d'hiver,1991,2,27
423,1991-02-28,True,True,True,Vacances d'hiver,1991,2,28
424,1991-03-01,True,True,True,Vacances d'hiver,1991,3,1
425,1991-03-02,True,True,True,Vacances d'hiver,1991,3,2
426,1991-03-03,True,True,True,Vacances d'hiver,1991,3,3
427,1991-03-04,False,True,False,Vacances d'hiver,1991,3,4
428,1991-03-05,False,True,False,Vacances d'hiver,1991,3,5
429,1991-03-06,False,True,False,Vacances d'hiver,1991,3,6
430,1991-03-07,False,True,False,Vacances d'hiver,1991,3,7
431,1991-03-08,False,True,False,Vacances d'hiver,1991,3,8
432,1991-03-09,False,True,False,Vacances d'hiver,1991,3,9
433,1991-03-10,False,True,False,Vacances d'hiver,1991,3,10
434,1991-03-11,False,False,False,,1991,3,11
435,1991-03-12,False,False,False,,1991,3,12
436,1991-03-13,False,False,False,,1991,3,13
437,1991-03-14,False,False,False,,1991,3,14
438,1991-03-15,False,False,False,,1991,3,15
439,1991-03-16,False,False,False,,1991,3,16
440,1991-03-17,False,False,False,,1991,3,17
441,1991-03-18,False,False,False,,1991,3,18
442,1991-03-19,False,False,False,,1991,3,19
443,1991-03-20,False,False,False,,1991,3,20
444,1991-03-21,False,False,False,,1991,3,21
445,1991-03-22,False,False,False,,1991,3,22
446,1991-03-23,False,False,False,,1991,3,23
447,1991-03-24,False,False,False,,1991,3,24
448,1991-03-25,False,False,False,,1991,3,25
449,1991-03-26,False,False,False,,1991,3,26
450,1991-03-27,False,False,False,,1991,3,27
451,1991-03-28,False,False,False,,1991,3,28
452,1991-03-29,False,False,False,,1991,3,29
453,1991-03-30,False,False,False,,1991,3,30
454,1991-03-31,False,False,False,,1991,3,31
455,1991-04-01,False,False,False,,1991,4,1
456,1991-04-02,False,False,False,,1991,4,2
457,1991-04-03,False,False,False,,1991,4,3
458,1991-04-04,False,False,False,,1991,4,4
459,1991-04-05,False,False,False,,1991,4,5
460,1991-04-06,False,False,False,,1991,4,6
461,1991-04-07,False,False,False,,1991,4,7
462,1991-04-08,False,False,False,,1991,4,8
463,1991-04-09,False,False,False,,1991,4,9
464,1991-04-10,False,False,False,,1991,4,10
465,1991-04-11,False,False,True,Vacances de printemps,1991,4,11
466,1991-04-12,False,False,True,Vacances de printemps,1991,4,12
467,1991-04-13,False,False,True,Vacances de printemps,1991,4,13
468,1991-04-14,False,False,True,Vacances de printemps,1991,4,14
469,1991-04-15,False,False,True,Vacances de printemps,1991,4,15
470,1991-04-16,False,False,True,Vacances de printemps,1991,4,16
471,1991-04-17,False,False,True,Vacances de printemps,1991,4,17
472,1991-04-18,False,False,True,Vacances de printemps,1991,4,18
473,1991-04-19,False,False,True,Vacances de printemps,1991,4,19
474,1991-04-20,True,False,True,Vacances de printemps,1991,4,20
475,1991-04-21,True,False,True,Vacances de printemps,1991,4,21
476,1991-04-22,True,False,True,Vacances de printemps,1991,4,22
477,1991-04-23,True,False,True,Vacances de printemps,1991,4,23
478,1991-04-24,True,False,True,Vacances de printemps,1991,4,24
479,1991-04-25,True,False,True,Vacances de printemps,1991,4,25
480,1991-04-26,True,False,True,Vacances de printemps,1991,4,26
481,1991-04-27,True,True,False,Vacances de printemps,1991,4,27
482,1991-04-28,True,True,False,Vacances de printemps,1991,4,28
483,1991-04-29,True,True,False,Vacances de printemps,1991,4,29
484,1991-04-30,True,True,False,Vacances de printemps,1991,4,30
485,1991-05-01,True,True,False,Vacances de printemps,1991,5,1
486,1991-05-02,True,True,False,Vacances de printemps,1991,5,2
487,1991-05-03,True,True,False,Vacances de printemps,1991,5,3
488,1991-05-04,True,True,False,Vacances de printemps,1991,5,4
489,1991-05-05,True,True,False,Vacances de printemps,1991,5,5
490,1991-05-06,False,True,False,Vacances de printemps,1991,5,6
491,1991-05-07,False,True,False,Vacances de printemps,1991,5,7
492,1991-05-08,False,True,False,Vacances de printemps,1991,5,8
493,1991-05-09,False,True,False,Vacances de printemps,1991,5,9
494,1991-05-10,False,True,False,Vacances de printemps,1991,5,10
495,1991-05-11,False,True,False,Vacances de printemps,1991,5,11
496,1991-05-12,False,True,False,Vacances de printemps,1991,5,12
497,1991-05-13,False,False,False,,1991,5,13
498,1991-05-14,False,False,False,,1991,5,14
499,1991-05-15,False,False,False,,1991,5,15
500,1991-05-16,False,False,False,,1991,5,16
501,1991-05-17,False,False,False,,1991,5,17
502,1991-05-18,False,False,False,,1991,5,18
503,1991-05-19,False,False,False,,1991,5,19
504,1991-05-20,False,False,False,,1991,5,20
505,1991-05-21,False,False,False,,1991,5,21
506,1991-05-22,False,False,False,,1991,5,22
507,1991-05-23,False,False,False,,1991,5,23
508,1991-05-24,False,False,False,,1991,5,24
509,1991-05-25,False,False,False,,1991,5,25
510,1991-05-26,False,False,False,,1991,5,26
511,1991-05-27,False,False,False,,1991,5,27
512,1991-05-28,False,False,False,,1991,5,28
513,1991-05-29,False,False,False,,1991,5,29
514,1991-05-30,False,False,False,,1991,5,30
515,1991-05-31,False,False,False,,1991,5,31
516,1991-06-01,False,False,False,,1991,6,1
517,1991-06-02,False,False,False,,1991,6,2
518,1991-06-03,False,False,False,,1991,6,3
519,1991-06-04,False,False,False,,1991,6,4
520,1991-06-05,False,False,False,,1991,6,5
521,1991-06-06,False,False,False,,1991,6,6
522,1991-06-07,False,False,False,,1991,6,7
523,1991-06-08,False,False,False,,1991,6,8
524,1991-06-09,False,False,False,,1991,6,9
525,1991-06-10,False,False,False,,1991,6,10
526,1991-06-11,False,False,False,,1991,6,11
527,1991-06-12,False,False,False,,1991,6,12
528,1991-06-13,False,False,False,,1991,6,13
529,1991-06-14,False,False,False,,1991,6,14
530,1991-06-15,False,False,False,,1991,6,15
531,1991-06-16,False,False,False,,1991,6,16
532,1991-06-17,False,False,False,,1991,6,17
533,1991-06-18,False,False,False,,1991,6,18
